"switch","arsenic","unsafe","distance","x","y","community","education"
FALSE,30,FALSE,13992.3004150391,260233.109375,2632745.75,0,5
FALSE,35,FALSE,10114.7003173828,260194.34375,2632744.5,1,9
FALSE,21,FALSE,9826.30004882812,260191.453125,2632744.75,1,9
TRUE,46,FALSE,7029.39987182617,260162.890625,2632753.75,1,5
TRUE,101,TRUE,7179.90036010742,260164.703125,2632750.75,1,5
FALSE,28,FALSE,12813.4994506836,260194.75,2632666.25,0,10
TRUE,74,TRUE,14153.5995483398,260213.15625,2632669.25,0,8
TRUE,181,TRUE,8464.60037231445,260137.125,2632542.75,1,0
TRUE,269,TRUE,6593.1999206543,260119.765625,2632530.25,0,0
TRUE,485,TRUE,6794.00024414062,260121.65625,2632522.25,1,0
TRUE,318,TRUE,6469.7998046875,260117.84375,2632517.25,0,6
TRUE,506,TRUE,6263.49983215332,260125.171875,2632498.5,1,10
TRUE,269,TRUE,4790.90003967285,260123.328125,2632479,0,10
TRUE,57,TRUE,2400.30002593994,260063.203125,2632410,0,12
FALSE,33,FALSE,2330.90000152588,260039.09375,2632380.5,1,6
FALSE,16,FALSE,1023.40002059937,256879.96875,2633249.25,1,5
TRUE,5,FALSE,1311.99998855591,256886.578125,2633228,1,10
FALSE,5,FALSE,228.699994087219,256918.890625,2633189.5,1,4
FALSE,11,FALSE,518.900012969971,256936.96875,2633213,0,9
FALSE,5,FALSE,739.499998092651,256965.140625,2633190.75,0,10
TRUE,12,FALSE,428.399991989136,256967.515625,2633180.5,0,10
FALSE,13,FALSE,800.19998550415,256941.5625,2633182.75,0,5
FALSE,8,FALSE,1036.69996261597,255581.484375,2632345.5,1,0
FALSE,5,FALSE,2040.99998474121,255550.75,2632346.75,1,10
TRUE,455,TRUE,1798.20003509521,255602.203125,2632324.25,0,7
FALSE,391,TRUE,1114.70003128052,255576.21875,2632335.75,1,6
FALSE,32,FALSE,3504.49981689453,255564.671875,2632275.75,0,5
TRUE,89,TRUE,3997.70011901855,255540.734375,2632276.75,3,5
FALSE,100,TRUE,6913.09967041016,255530.90625,2632249,0,0
TRUE,95,TRUE,3765.29998779297,255483.84375,2632179.25,1,0
FALSE,5,FALSE,2189.29996490479,255513.71875,2632177,1,4
TRUE,355,TRUE,3207.09991455078,255530.109375,2632191.75,1,7
TRUE,452,TRUE,1908.39996337891,255528.53125,2632178.75,0,5
FALSE,5,FALSE,1243.09997558594,255517.640625,2632167.75,1,8
FALSE,5,FALSE,2514.80007171631,255473.03125,2632153,1,0
TRUE,476,TRUE,2391.20006561279,255474.421875,2632134,0,0
TRUE,199,TRUE,2855.99994659424,255469.8125,2632133,1,5
FALSE,285,TRUE,2196.50001525879,255462.578125,2632117.25,0,0
TRUE,804,TRUE,7996.29974365234,255415.984375,2632035.5,0,5
FALSE,81,TRUE,9100.70037841797,255393.359375,2632034,0,0
FALSE,25,FALSE,737.099981307983,255990.453125,2632702.5,1,5
TRUE,285,TRUE,2651.30004882812,256017.125,2632701.25,1,8
TRUE,218,TRUE,2332.39994049072,256014.625,2632704,0,3
TRUE,423,TRUE,3159.19990539551,256023.53125,2632708,0,5
FALSE,5,FALSE,3206.4998626709,256020.53125,2632731.75,1,10
TRUE,247,TRUE,2727.70004272461,255985.046875,2632764.5,1,10
FALSE,8,FALSE,2854.99992370605,255971.640625,2632765.75,1,10
FALSE,25,FALSE,4391.69998168945,255990.4375,2632781.25,1,7
FALSE,5,FALSE,3375.29983520508,255991.796875,2632822,0,12
FALSE,5,FALSE,2978.40003967285,255985.671875,2632680.5,0,0
TRUE,192,TRUE,3132.39994049072,255961.09375,2632704.5,1,0
TRUE,163,TRUE,3884.89990234375,255957.3125,2632692.25,0,8
TRUE,163,TRUE,2090.60001373291,255957.890625,2632645.5,1,4
TRUE,545,TRUE,912.600040435791,255944.28125,2632645,1,0
FALSE,5,FALSE,1451.29995346069,255926.015625,2632639.75,12,7
FALSE,157,TRUE,1938.19999694824,255931.421875,2632668.25,0,8
TRUE,194,TRUE,1246.10004425049,255922.484375,2632672.25,0,8
FALSE,47,FALSE,1943.79997253418,258279.734375,2632303.25,1,10
FALSE,14,FALSE,1443.99995803833,258265.296875,2632273.75,1,6
FALSE,21,FALSE,1922.10006713867,258244.984375,2632278.75,0,10
FALSE,5,FALSE,1918.19992065430,258247.34375,2632287,0,0
FALSE,19,FALSE,1335.59999465942,258257.921875,2632309.75,0,8
FALSE,5,FALSE,852.70004272461,258241.453125,2632320.75,0,12
FALSE,5,FALSE,1361.20004653931,258281.21875,2632320.75,0,10
FALSE,9,FALSE,1888.19999694824,258277.3125,2632342,0,11
FALSE,5,FALSE,2026.30004882812,258249.375,2632337.75,1,0
FALSE,5,FALSE,2387.80002593994,258242.9375,2632349.5,1,10
TRUE,5,FALSE,2122.50003814697,258248.03125,2632358.75,1,0
TRUE,18,FALSE,308.200001716614,258236.9375,2632325.25,0,0
TRUE,30,FALSE,944.200038909912,258222.421875,2632280.5,0,0
FALSE,5,FALSE,3099.09992218018,258184.890625,2632292.75,0,10
FALSE,17,FALSE,1616.39995574951,258169.265625,2632323.75,1,0
FALSE,26,FALSE,2022.50003814697,258156.15625,2632362.75,1,5
FALSE,24,FALSE,1135.09998321533,258163.421875,2632350,0,3
FALSE,23,FALSE,192.200005054474,258153.234375,2632320.5,1,2
FALSE,8,FALSE,2631.90002441406,258198.890625,2632336.75,1,0
TRUE,6,FALSE,1423.70004653931,258183.96875,2632339,1,0
FALSE,10,FALSE,703.10001373291,258216.8125,2632351.75,0,9
TRUE,5,FALSE,1002.70004272461,258273.8125,2632386.75,1,0
FALSE,9,FALSE,1216.49999618530,258237.984375,2632378,0,4
FALSE,34,FALSE,2344.89994049072,258295.4375,2632337.75,0,5
FALSE,5,FALSE,2170.89996337891,258246.859375,2632400.75,0,5
FALSE,5,FALSE,1168.20001602173,258213.359375,2632399,1,0
FALSE,17,FALSE,1664.69993591309,258224.875,2632417.25,1,0
FALSE,28,FALSE,848.099994659424,258221.375,2632431.75,0,0
TRUE,15,FALSE,1665.50006866455,258197.75,2632421.75,0,7
TRUE,12,FALSE,1741.20006561279,258195,2632419.25,1,6
FALSE,5,FALSE,1542.50001907349,258160.8125,2632356.75,1,0
TRUE,15,FALSE,1207.19995498657,258143.171875,2632338,0,6
TRUE,9,FALSE,1259.79995727539,258205.171875,2632398,1,5
TRUE,24,FALSE,1442.70000457764,258119.46875,2632283.25,1,10
FALSE,5,FALSE,2623.10009002686,258108.4375,2632252.75,0,8
TRUE,5,FALSE,3197.29995727539,258086.5,2632222.25,0,14
FALSE,24,FALSE,3359.50012207031,258049.40625,2632219,1,0
FALSE,5,FALSE,2295.80001831055,258098.703125,2632352.25,1,8
TRUE,27,FALSE,578.599977493286,258077.0625,2632318.5,0,14
TRUE,34,FALSE,2306.29997253418,258061.734375,2632326.5,0,14
FALSE,14,FALSE,1352.29997634888,258068.15625,2632303.5,0,3
FALSE,29,FALSE,887.1000289917,258087.0625,2632276,1,0
FALSE,46,FALSE,1532.99999237061,258060.109375,2632269.75,1,0
FALSE,18,FALSE,652.799987792969,258045.71875,2632313.75,0,0
FALSE,11,FALSE,1690.60001373291,258026.046875,2632326.5,1,5
TRUE,158,TRUE,1493.70002746582,258039.0625,2632302,0,0
FALSE,39,FALSE,1774.30000305176,258038.34375,2632279.25,0,5
TRUE,67,TRUE,1321.89998626709,258009.796875,2632269.5,1,5
FALSE,50,FALSE,588.399982452393,257991.46875,2632270.5,1,5
TRUE,140,TRUE,682.999992370605,257979.515625,2632246.75,0,5
TRUE,19,FALSE,1927.09999084473,257939.421875,2632228,0,10
FALSE,39,FALSE,1798.50006103516,258050.625,2632271.5,0,5
FALSE,29,FALSE,1956.29997253418,258023.03125,2632206.75,1,1
TRUE,32,FALSE,1227.79998779297,258024.71875,2632216,1,1
FALSE,50,FALSE,3255.89981079102,258038,2632177.5,0,0
FALSE,118,TRUE,3040.60001373291,258004.03125,2632158.25,1,3
FALSE,77,TRUE,1855.10005950928,258011.671875,2632127.5,1,5
FALSE,77,TRUE,2482.90004730225,258011.53125,2632118.5,0,0
FALSE,48,FALSE,3232.19985961914,258075.609375,2632119.5,0,3
TRUE,64,TRUE,3988.19999694824,258067.203125,2632115,0,3
TRUE,48,FALSE,2687.00008392334,258059.90625,2632146,1,0
TRUE,73,TRUE,1781.10008239746,258044.65625,2632138,0,0
TRUE,357,TRUE,1230.09996414185,258027.5625,2632082,0,12
FALSE,23,FALSE,2165.29998779297,257994.453125,2632093.25,0,12
FALSE,14,FALSE,1090.10000228882,258017.421875,2632064.5,0,0
TRUE,144,TRUE,2867.09995269775,257995.890625,2632027.25,0,12
FALSE,43,FALSE,1219.99998092651,257986.890625,2632068.25,0,12
FALSE,5,FALSE,1649.2000579834,257973.6875,2632061.5,0,5
FALSE,5,FALSE,1275.3999710083,257965.390625,2632104.25,3,5
FALSE,5,FALSE,1131.09998703003,257955.3125,2632100.25,0,5
FALSE,77,TRUE,2087.1000289917,257996.40625,2632118.5,1,5
TRUE,6,FALSE,260.800004005432,257935.515625,2632116.25,0,5
TRUE,43,FALSE,797.200012207031,257960.90625,2631988.25,0,5
TRUE,77,TRUE,2012.00008392334,257953.140625,2631950.75,1,0
FALSE,73,TRUE,1349.40004348755,257936.90625,2631955.5,1,5
FALSE,5,FALSE,991.600036621094,257934.671875,2631974,1,5
FALSE,34,FALSE,729.40001487732,257939.671875,2632009.25,1,0
FALSE,9,FALSE,116.999995708466,257922.375,2632011.75,0,9
FALSE,5,FALSE,726.800012588501,257911.3125,2632010,0,5
TRUE,190,TRUE,1919.19994354248,257870.484375,2631987.25,0,0
FALSE,72,TRUE,2864.59999084473,257859.875,2631943,0,8
FALSE,88,TRUE,1616.60003662109,257865.890625,2631957,0,0
FALSE,104,TRUE,2742.79994964600,257882.03125,2631956.5,0,5
FALSE,5,FALSE,1872.99995422363,257855.40625,2631990,0,8
FALSE,24,FALSE,949.80001449585,257835.984375,2632007.75,1,6
FALSE,24,FALSE,1353.29999923706,257878.53125,2632021.5,0,0
FALSE,24,FALSE,2107.29999542236,257920.59375,2632037,0,0
FALSE,5,FALSE,1166.39995574951,257871.796875,2632066.25,0,10
FALSE,5,FALSE,1760.00003814697,257892.765625,2632079.75,0,5
TRUE,5,FALSE,1822.50003814697,257923.140625,2632098,1,0
TRUE,93,TRUE,2125,257945.875,2632064.75,0,5
FALSE,121,TRUE,1583.89997482300,258049.828125,2632254.5,1,0
TRUE,144,TRUE,1441.80002212524,258058.140625,2632253.25,1,5
FALSE,48,FALSE,1726.00002288818,257930.515625,2632263.75,1,0
FALSE,50,FALSE,2227.30007171631,257917.5,2632238.25,1,0
TRUE,47,FALSE,1739.10007476807,257915.71875,2632242.75,0,5
FALSE,64,TRUE,2927.79998779297,257955.28125,2632200.5,1,14
FALSE,80,TRUE,4394.40002441406,257934.421875,2632193,1,14
TRUE,193,TRUE,2022.99995422363,257848.984375,2632196,0,0
FALSE,15,FALSE,3695.19996643066,257829.515625,2632180,0,0
FALSE,56,TRUE,5009.19990539551,257816.125,2632181.75,0,5
TRUE,84,TRUE,5710.49995422363,257809.5,2632192.75,1,0
FALSE,132,TRUE,6687.9997253418,257800.8125,2632170.75,0,5
FALSE,52,TRUE,6948.20022583008,257796.625,2632184.75,0,3
FALSE,119,TRUE,4870.80001831055,257771.125,2632173.5,1,5
FALSE,118,TRUE,2263.59996795654,257768.546875,2632131.75,1,12
FALSE,126,TRUE,1012.30001449585,257746.390625,2632117.75,0,5
FALSE,88,TRUE,4282.79991149902,257758.703125,2632172.75,0,8
FALSE,316,TRUE,2108.90007019043,257728.6875,2632116.25,0,5
FALSE,212,TRUE,4753.40003967285,257793.40625,2632134,0,5
TRUE,76,TRUE,1571.19998931885,257951.625,2632215.5,0,5
TRUE,50,FALSE,1319.90003585815,258130.609375,2632461.25,0,5
FALSE,56,TRUE,1218.50004196167,258150.375,2632474.25,0,5
FALSE,41,FALSE,1277.00004577637,258152.671875,2632438.75,0,5
FALSE,29,FALSE,780.900001525879,258175.25,2632478.75,0,10
FALSE,62,TRUE,2355.90000152588,258192.921875,2632468.25,0,0
TRUE,11,FALSE,2819.19994354248,258188.65625,2632446.75,0,5
TRUE,103,TRUE,184.800004959106,258144.46875,2632487,0,5
TRUE,31,FALSE,2332.60002136230,258165.203125,2632507.5,0,10
FALSE,78,TRUE,9092.09976196289,258159.640625,2632632.25,0,5
FALSE,102,TRUE,9382.80029296875,258124,2632665.25,1,5
FALSE,65,TRUE,8210.60028076172,258124.703125,2632636.75,1,9
TRUE,229,TRUE,4695.60012817383,258077.6875,2632589.75,1,3
FALSE,5,FALSE,4506.0001373291,258055.28125,2632601,1,3
TRUE,160,TRUE,2420.99990844727,258030.640625,2632600.75,1,4
FALSE,35,FALSE,559.20000076294,258018.21875,2632579.75,0,10
TRUE,50,FALSE,1493.20001602173,257967.65625,2632624.75,0,5
TRUE,82,TRUE,4329.00009155273,257934.921875,2632608.75,0,5
TRUE,144,TRUE,2514.69993591309,258018.828125,2632494,0,10
FALSE,16,FALSE,3782.19985961914,258032.234375,2632503.5,0,10
FALSE,35,FALSE,1057.10000991821,258151.515625,2632522.5,0,0
FALSE,22,FALSE,2361.10000610352,258134.765625,2632506.5,1,5
TRUE,97,TRUE,1460.40000915527,258101.78125,2632495,0,0
FALSE,10,FALSE,2015.20004272461,258073.6875,2632492.5,1,8
FALSE,89,TRUE,140.100002288818,258082.828125,2632521,0,8
TRUE,139,TRUE,821.000003814697,258082.203125,2632473,0,12
TRUE,83,TRUE,1886.80000305176,258095.03125,2632457.25,0,0
FALSE,42,FALSE,2012.99991607666,258071.734375,2632446.75,0,0
TRUE,60,TRUE,3251.49993896484,258015.484375,2632436.25,0,5
TRUE,57,TRUE,2340.09990692139,258039.71875,2632462.75,0,0
FALSE,26,FALSE,2621.80004119873,258071.9375,2632408.25,0,9
TRUE,147,TRUE,1853.19995880127,258052.296875,2632402,1,9
TRUE,29,FALSE,483.500003814697,258066.078125,2632382.75,1,5
TRUE,111,TRUE,3628.69987487793,258057.78125,2632496,0,10
TRUE,238,TRUE,4049.80010986328,258031.609375,2632506.5,0,12
FALSE,10,FALSE,3018.09997558594,258054.15625,2632523.75,0,5
FALSE,397,TRUE,9057.09991455078,257859.671875,2632621,0,0
TRUE,351,TRUE,11515.7997131348,257850.03125,2632593,1,3
FALSE,369,TRUE,11276.2001037598,257835.984375,2632577,1,0
TRUE,295,TRUE,9343.09997558594,257822.296875,2632611.75,1,0
FALSE,321,TRUE,9721.70028686523,257818.09375,2632573.5,0,0
TRUE,365,TRUE,8834.50012207031,257808.234375,2632573.25,1,0
TRUE,442,TRUE,4110.40000915527,257752.75,2632578.75,1,5
TRUE,412,TRUE,4624.00016784668,257749.21875,2632570.5,0,3
TRUE,362,TRUE,6535.39962768555,257751.9375,2632551,1,3
TRUE,380,TRUE,4373.50006103516,257734.90625,2632568.75,1,2
TRUE,446,TRUE,6157.09991455078,257716.78125,2632551.75,0,5
TRUE,403,TRUE,6299.00016784668,257713.375,2632551,1,2
TRUE,404,TRUE,7841.50009155273,257703.46875,2632538,1,0
TRUE,332,TRUE,6350.19989013672,257701.203125,2632555,0,5
FALSE,207,TRUE,6926.89971923828,257681.53125,2632537.25,1,5
TRUE,143,TRUE,5792.90008544922,257670.03125,2632541,1,6
TRUE,230,TRUE,8538.70010375977,257668.578125,2632505,0,5
TRUE,141,TRUE,11060.9001159668,257692.8125,2632490.75,0,5
TRUE,234,TRUE,11148.9997863770,257697.453125,2632493.25,1,0
TRUE,150,TRUE,17619.7006225586,257638.15625,2632403.75,0,0
FALSE,144,TRUE,17210.8001708984,257621.734375,2632407.5,0,0
FALSE,154,TRUE,17780.2993774414,257579.09375,2632408.25,0,0
TRUE,135,TRUE,2267.09995269775,257623.734375,2632557,3,0
FALSE,5,FALSE,669.099998474121,257955.21875,2632105,0,0
TRUE,5,FALSE,325.200009346008,257934.265625,2632112.75,1,0
TRUE,54,TRUE,2788.10005187988,257963.171875,2632143.5,1,5
TRUE,117,TRUE,1926.00002288818,257989.65625,2632131.75,0,8
TRUE,5,FALSE,3043.19992065430,257810.125,2631863.75,1,0
TRUE,11,FALSE,1802.79998779297,257793.875,2631868,1,9
FALSE,5,FALSE,668.300008773804,257808.3125,2631887.75,0,5
FALSE,32,FALSE,2960.70003509521,257804.46875,2631861.25,1,5
FALSE,5,FALSE,2162.00008392334,257755.859375,2631860.75,0,5
FALSE,5,FALSE,15.1999995112419,257742.046875,2631878.5,0,5
FALSE,16,FALSE,1344.40002441406,257740.578125,2631892,0,9
TRUE,5,FALSE,2096.80004119873,257780.265625,2631918.25,1,10
FALSE,5,FALSE,2096.99993133545,257762.890625,2631885.5,0,8
FALSE,5,FALSE,975.500011444092,257762.25,2631928,0,0
TRUE,5,FALSE,644.299983978271,257773.875,2631932,1,7
FALSE,25,FALSE,1510.90002059937,257732.484375,2631936.5,0,0
FALSE,5,FALSE,2022.80006408691,257758.640625,2631986.5,0,0
FALSE,23,FALSE,1270.40004730225,257773.125,2631958.25,0,0
FALSE,36,FALSE,5290.90003967285,257693.15625,2632125.25,0,0
FALSE,45,FALSE,6995.50018310547,257671.203125,2632113.25,0,0
FALSE,102,TRUE,2450,257785.671875,2631986.75,0,0
TRUE,111,TRUE,663.299989700317,257793.796875,2632005.25,0,5
FALSE,49,FALSE,1602.40001678467,257804.296875,2632003.25,0,0
FALSE,21,FALSE,1563.70000839233,257774.96875,2632007.25,1,0
FALSE,37,FALSE,2053.59992980957,257810.71875,2632011,0,5
FALSE,52,TRUE,704.099988937378,257838.75,2632000.25,0,10
FALSE,56,TRUE,3031.39991760254,257846.8125,2631944,1,8
FALSE,34,FALSE,1424.30000305176,257832.609375,2632019.5,1,6
FALSE,29,FALSE,2439.10007476807,257827.328125,2632029,1,6
FALSE,27,FALSE,2120.99990844727,257448.71875,2631940.25,0,5
FALSE,29,FALSE,2226.19991302490,257433.171875,2631935.5,1,5
FALSE,17,FALSE,3818.89991760254,257457.640625,2631965,0,10
FALSE,44,FALSE,1150.30002593994,257444.796875,2631990,0,0
FALSE,5,FALSE,2880.99994659424,257435.421875,2631967.75,0,10
TRUE,5,FALSE,3310.80017089844,257442.84375,2631964.25,0,10
TRUE,169,TRUE,2992.20008850098,257442.21875,2631957.5,0,10
FALSE,47,FALSE,2002.00004577637,257417.71875,2631966.75,0,0
TRUE,61,TRUE,2197.90000915527,257417.421875,2631968.75,1,0
FALSE,42,FALSE,1248.99997711182,257422.3125,2631956.5,0,9
TRUE,217,TRUE,1045.80001831055,257393.546875,2631974.5,1,5
FALSE,48,FALSE,2114.69993591309,257349.25,2631947,0,0
TRUE,77,TRUE,202.900004386902,257371.390625,2631930,0,0
FALSE,61,TRUE,7499.90005493164,257284.875,2631898.75,0,5
TRUE,96,TRUE,8197.10006713867,257288.171875,2631892.5,1,3
TRUE,94,TRUE,9217.60025024414,257274.140625,2631876.75,1,5
TRUE,93,TRUE,10660.8001708984,257274.234375,2631862,1,3
FALSE,102,TRUE,10306.0997009277,257259.640625,2631863.5,1,4
FALSE,124,TRUE,8660.50033569336,257250.21875,2631879.75,0,0
FALSE,142,TRUE,11056.1996459961,257235.234375,2631857,0,5
FALSE,131,TRUE,12232.5996398926,257245.71875,2631844.25,0,5
FALSE,83,TRUE,12201.8997192383,257217.9375,2631849.25,0,0
FALSE,264,TRUE,5763.2999420166,258380.96875,2631944.25,1,2
FALSE,184,TRUE,3959.60006713867,258403.859375,2631930.75,0,5
FALSE,248,TRUE,3951.5998840332,258399.171875,2631944.75,0,0
FALSE,127,TRUE,2155.50003051758,258416.78125,2631951,0,10
TRUE,25,FALSE,2106.10008239746,258377.09375,2632180,1,0
FALSE,69,TRUE,5174.80010986328,258421.875,2632154.25,0,0
FALSE,5,FALSE,2880.20000457764,258336.84375,2632202.5,0,0
TRUE,61,TRUE,1352.09999084473,258300.921875,2632229.25,1,5
FALSE,50,FALSE,713.600015640259,258319.6875,2632233,1,0
TRUE,20,FALSE,2039.59999084473,258399.78125,2632103.75,0,8
FALSE,89,TRUE,3145.40004730225,258473.421875,2631944,0,5
FALSE,85,TRUE,1754.80003356934,258453.84375,2631942,0,12
FALSE,49,FALSE,1483.50000381470,258425.375,2631957.5,0,5
FALSE,29,FALSE,3374.2000579834,258478.15625,2631943,0,9
TRUE,16,FALSE,8283.20007324219,260203.515625,2632846.5,0,0
TRUE,99,TRUE,9704.7996520996,260182.234375,2632783,1,5
TRUE,75,TRUE,8943.09997558594,260164.3125,2632798.75,0,5
FALSE,81,TRUE,1926.39999389648,257111.203125,2631504.75,1,0
FALSE,181,TRUE,5336.29989624023,257119.296875,2631460.75,1,9
FALSE,125,TRUE,3012.8999710083,257131.125,2631497.75,1,0
TRUE,112,TRUE,2713.6999130249,257145.875,2631505.25,1,9
TRUE,103,TRUE,1453.40003967285,257151.625,2631483.5,1,0
TRUE,71,TRUE,2871.19998931885,257154.984375,2631460.25,1,0
TRUE,216,TRUE,2063.99993896484,257176.375,2631469.25,1,0
TRUE,170,TRUE,3675,257182.75,2631454.25,0,5
TRUE,184,TRUE,4968.00003051758,257158.84375,2631437.75,0,5
FALSE,126,TRUE,10271.0998535156,257222.65625,2631401.25,1,0
FALSE,253,TRUE,10861.5997314453,257228.375,2631398,1,0
FALSE,295,TRUE,9643.59970092773,257233.984375,2631418.75,0,0
FALSE,62,TRUE,10086.1000061035,257191.34375,2631389.25,0,0
TRUE,301,TRUE,13789.9993896484,257264.265625,2631359,0,10
FALSE,256,TRUE,12467.0997619629,257277.71875,2631361,1,5
TRUE,197,TRUE,15106.5994262695,257251.4375,2631334.25,0,10
FALSE,120,TRUE,12157.5996398926,257282.09375,2631327.5,1,5
FALSE,89,TRUE,3284.99984741211,257372.125,2631334.75,0,0
FALSE,22,FALSE,1124.6000289917,257398.1875,2631338.25,0,0
TRUE,8,FALSE,517.899990081787,257398.421875,2631352.75,0,0
FALSE,52,TRUE,854.699993133545,257437.609375,2631358,0,10
TRUE,249,TRUE,2797.40009307861,257430.671875,2631380.25,0,4
TRUE,125,TRUE,2945.80001831055,257466.65625,2631378,0,0
FALSE,113,TRUE,1965.99998474121,257465.03125,2631362.25,1,5
FALSE,5,FALSE,591.099977493286,257486.921875,2631359.5,0,0
FALSE,5,FALSE,1907.39994049072,257485.8125,2631374.5,1,5
FALSE,35,FALSE,3212.79983520508,257489.4375,2631388.5,0,14
TRUE,113,TRUE,4770.89996337891,257525.453125,2631407.25,0,12
TRUE,52,TRUE,7152.30026245117,257513.21875,2631428.5,0,10
TRUE,88,TRUE,6717.60025024414,257447.046875,2631282.75,1,10
FALSE,348,TRUE,6996.70028686523,257439.609375,2631285,0,5
FALSE,56,TRUE,8357.19985961914,257442.078125,2631259.5,0,10
FALSE,42,FALSE,9062.10021972656,257465.53125,2631249.75,1,5
TRUE,177,TRUE,7142.50030517578,257354.84375,2631277.25,0,0
FALSE,135,TRUE,7142.50030517578,257354.84375,2631277.25,0,5
TRUE,167,TRUE,7142.50030517578,257354.84375,2631277.25,0,0
FALSE,192,TRUE,7142.50030517578,257354.84375,2631277.25,0,10
FALSE,241,TRUE,19028.7994384766,257187.8125,2631178,0,7
FALSE,236,TRUE,18630.4992675781,257196.796875,2631156.5,0,5
TRUE,231,TRUE,17092.9000854492,257218.796875,2631140.75,0,0
TRUE,255,TRUE,14082.0999145508,257237.484375,2631181.25,0,10
FALSE,241,TRUE,21830.0003051758,257249.078125,2631031,0,0
TRUE,146,TRUE,5354.39987182617,257376,2630765.5,0,14
TRUE,200,TRUE,6360.20011901855,257397.421875,2630775.25,0,0
TRUE,132,TRUE,6749.29962158203,257418.84375,2630776.5,0,5
TRUE,175,TRUE,6673.60000610352,257430.15625,2630771,0,5
TRUE,184,TRUE,4799.59983825684,257448.703125,2630762.75,0,0
FALSE,172,TRUE,5441.60003662109,257450.265625,2630784.75,0,5
FALSE,177,TRUE,9472.2999572754,257419.609375,2630811.25,0,5
TRUE,277,TRUE,7077.40020751953,257441,2630800,0,7
