stock,sector
LM   ,Financials
LMT  ,Industrials
LNC  ,Financials
LO   ,Consumer Staples
LOW  ,Consumer Discretionary
LRCX ,Information Technology
LSI  ,Information Technology
LUK  ,Financials
LUV  ,Industrials
LVLT ,Telecommunications Services
LXK  ,Information Technology
LYB  ,Materials
M    ,Consumer Discretionary
MA   ,Information Technology
MAC  ,Financials
MAR  ,Consumer Discretionary
MAS  ,Industrials
MAT  ,Consumer Discretionary
MCD  ,Consumer Discretionary
MCHP ,Information Technology
MCK  ,Health Care
MCO  ,Financials
MDLZ ,Consumer Staples
MDT  ,Health Care
MET  ,Financials
MHK  ,Consumer Discretionary
MHS  ,Health Care
MJN  ,Consumer Staples
MKC  ,Consumer Staples
MLM  ,Materials
MMC  ,Financials
MMI  ,Telecommunications Services
MMM  ,Industrials
MNK  ,Health Care
MNST ,Consumer Staples
MO   ,Consumer Staples
MOLX ,Industrials
MON  ,Materials
MOS  ,Materials
MPC  ,Energy
MRK  ,Health Care
MRO  ,Energy
MS   ,Financials
MSFT ,Information Technology
MSI  ,Information Technology
MTB  ,Financials
MU   ,Information Technology
MUR  ,Energy
MYL  ,Health Care
NAVI ,Financials
NBL  ,Energy
NBR  ,Energy
NDAQ ,Financials
NE   ,Energy
NEE  ,Utilities
NEM  ,Materials
NFLX ,Information Technology
NFX  ,Energy
NI   ,Utilities
NKE  ,Consumer Discretionary
NLSN ,Industrials
NOC  ,Industrials
NOV  ,Energy
NRG  ,Utilities
NSC  ,Industrials
NTAP ,Information Technology
NTRS ,Financials
NUE  ,Materials
NVDA ,Information Technology
NVLS ,Health Care
NWL  ,Consumer Discretionary
NWS  ,Consumer Discretionary
NWSA ,Consumer Discretionary
NYX  ,Financials
O    ,Financials
OI   ,Materials
OKE  ,Energy
OMC  ,Consumer Discretionary
ORCL ,Information Technology
ORLY ,Consumer Discretionary
OXY  ,Energy
PAYX ,Information Technology
PBCT ,Financials
PBI  ,Industrials
PCAR ,Industrials
PCG  ,Utilities
PCL  ,Materials
PCLN ,Consumer Discretionary
PCP  ,Industrials
PDCO ,Health Care
PEG  ,Utilities
PEP  ,Consumer Staples
PETM ,Consumer Discretionary
PFE  ,Health Care
PFG  ,Financials
PG   ,Consumer Staples
PGR  ,Financials
PH   ,Industrials
PHM  ,Consumer Discretionary
PKI  ,Health Care
PLD  ,Financials
PLL  ,Industrials
PM   ,Consumer Staples
PNC  ,Financials
PNR  ,Industrials
PNW  ,Utilities
POM  ,Energy
PPG  ,Materials
PPL  ,Utilities
PRGO ,Health Care
PRU  ,Financials
PSA  ,Financials
PSX  ,Energy
PVH  ,Consumer Discretionary
PWR  ,Industrials
PX   ,Materials
PXD  ,Energy
QCOM ,Information Technology
QEP  ,Energy
QRVO ,Information Technology
R    ,Industrials
RAI  ,Consumer Staples
RCL  ,Consumer Discretionary
RDC  ,Energy
REGN ,Health Care
RF   ,Financials
RHI  ,Industrials
RHT  ,Information Technology
RIG  ,Energy
RL   ,Consumer Discretionary
ROK  ,Industrials
ROP  ,Industrials
ROST ,Consumer Discretionary
RRC  ,Energy
RRD  ,Consumer Discretionary
RSG  ,Industrials
RTN  ,Industrials
S    ,Telecommunications Services
SBUX ,Consumer Discretionary
SCG  ,Utilities
SCHW ,Financials
SE   ,Energy
SEE  ,Materials
SHLD ,Consumer Discretionary
SHW  ,Materials
SIG  ,Consumer Discretionary
SJM  ,Consumer Staples
SLB  ,Energy
SLG  ,Financials
SLM  ,Financials
SNA  ,Consumer Discretionary
SNDK ,Information Technology
SNI  ,Consumer Discretionary
SO   ,Utilities
SPG  ,Financials
SPLS ,Consumer Discretionary
SRCL ,Industrials
SRE  ,Utilities
STI  ,Financials
STJ  ,Health Care
STT  ,Financials
STX  ,Information Technology
STZ  ,Consumer Staples
SUN  ,Energy
SVU  ,Consumer Discretionary
SWK  ,Consumer Discretionary
SWKS ,Information Technology
SWN  ,Energy
SWY  ,Consumer Discretionary
SYF  ,Financials
SYK  ,Health Care
SYMC ,Information Technology
SYY  ,Consumer Staples
T    ,Telecommunications Services
TAP  ,Consumer Staples
TDC  ,Information Technology
TE   ,Energy
TEG  ,Energy
TEL  ,Information Technology
TER  ,Information Technology
TGNA ,Consumer Discretionary
TGT  ,Consumer Discretionary
THC  ,Health Care
TIE  ,Materials
TIF  ,Consumer Discretionary
TJX  ,Consumer Discretionary
TMK  ,Financials
TMO  ,Health Care
TRIP ,Consumer Discretionary
TROW ,Financials
TRV  ,Financials
TSCO ,Consumer Discretionary
TSN  ,Consumer Staples
TSO  ,Energy
TSS  ,Information Technology
TWC  ,Consumer Discretionary
TWX  ,Consumer Discretionary
TXN  ,Information Technology
TXT  ,Industrials
TYC  ,Industrials
UA   ,Consumer Discretionary
UAL  ,Industrials
UHS  ,Health Care
UNH  ,Health Care
UNM  ,Financials
UNP  ,Industrials
UPS  ,Industrials
URBN ,Consumer Discretionary
URI  ,Real Estate
USB  ,Financials
UTX  ,Industrials
V    ,Information Technology
VAR  ,Health Care
VFC  ,Consumer Discretionary
VIAB ,Consumer Discretionary
VLO  ,Energy
VMC  ,Materials
VNO  ,Financials
VRSK ,Industrials
VRSN ,Information Technology
VRTX ,Health Care
VTR  ,Financials
VZ   ,Telecommunications Services
WAT  ,Health Care
WBA  ,Consumer Staples
WDC  ,Information Technology
WEC  ,Utilities
WFC  ,Financials
WFM  ,Consumer Staples
WHR  ,Consumer Discretionary
WIN  ,Telecommunications Services
WM   ,Industrials
WMB  ,Energy
WMT  ,Consumer Staples
WPX  ,Energy
WRK  ,Materials
WU   ,Information Technology
WY   ,Financials
WYN  ,Consumer Discretionary
WYNN ,Consumer Discretionary
X    ,Materials
XEC  ,Energy
XEL  ,Utilities
XL   ,Financials
XLNX ,Information Technology
XOM  ,Energy
XRAY ,Health Care
XRX  ,Information Technology
XYL  ,Industrials
YHOO ,Information Technology
YUM  ,Consumer Discretionary
ZBH  ,Health Care
ZION ,Financials
ZTS,Health Care
